"hump","arch one''s back"
"austere","practicing great self-denial; ""Be systematically ascetic...do...something for no other reason than that you would rather not do it""- William James; ""a desert nomad''s austere life""; ""a spartan diet""; ""a spartan existence"""
"spartan","practicing great self-denial; ""Be systematically ascetic...do...something for no other reason than that you would rather not do it""- William James; ""a desert nomad''s austere life""; ""a spartan diet""; ""a spartan existence"""
"gluttonous","given to excess in consumption of especially food or drink; ""over-fed women and their gluttonous husbands""; ""a gluttonous debauch""; ""a gluttonous appetite for food and praise and pleasure"""
"crapulous","given to gross intemperance in eating or drinking; ""a crapulous old reprobate"""
"crapulent","suffering from excessive eating or drinking; ""crapulent sleep""; ""a crapulous stomach"""
"crapulous","suffering from excessive eating or drinking; ""crapulent sleep""; ""a crapulous stomach"""
"edacious","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"esurient","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"rapacious","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"ravening","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"ravenous","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"voracious","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"wolfish","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks"""
"greedy","wanting to eat or drink more than one can reasonably consume; ""don''t be greedy with the cookies"""
"hoggish","resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"""
"piggish","resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"""
"piggy","resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"""
"porcine","resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"""
"swinish","resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"""
"overgreedy","excessively gluttonous"
"scavenging","searching for and feeding on decaying matter; ""scavenging hyenas and vultures"""
"abstract","existing only in the mind; separated from embodiment; ""abstract words like `truth'' and `justice''"""
"conceptional","being (or being of the nature of) a notion or concept; ""a plan abstract and conceptional""; ""to improve notional comprehension""; ""a notional response to the question"""
"ideational","being (or being of the nature of) a notion or concept; ""a plan abstract and conceptional""; ""to improve notional comprehension""; ""a notional response to the question"""
"notional","being (or being of the nature of) a notion or concept; ""a plan abstract and conceptional""; ""to improve notional comprehension""; ""a notional response to the question"""
"conceptual","being or characterized by concepts or their formation; ""conceptual discussions""; ""the schizophrenic loses ability to abstract or do conceptual thinking"""
"ideal","constituting or existing only in the form of an idea or mental image or conception; ""a poem or essay may be typical of its period in idea or ideal content"""
"concrete","capable of being perceived by the senses; not abstract or imaginary; ""concrete objects such as trees"""
"factual","characterized by fact; ""the factual aspects of the case"""
"objective","belonging to immediate experience of actual things or events; ""concrete benefits""; ""a concrete example""; ""there is no objective evidence of anything of the kind"""
"real","possible to be treated as fact; ""tangible evidence""; ""his brief time as Prime Minister brought few real benefits to the poor"""
"tangible","possible to be treated as fact; ""tangible evidence""; ""his brief time as Prime Minister brought few real benefits to the poor"""
"abundant","present in great quantity; ""an abundant supply of water"""
"abounding","existing in abundance; ""abounding confidence""; ""whiskey galore"""
"galore(ip)","existing in abundance; ""abounding confidence""; ""whiskey galore"""
"ample","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply"""
"copious","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply"""
"plenteous","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply"""
"plentiful","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply"""
"rich","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply"""
"bumper","extraordinarily abundant; ""a bumper crop"""
"copious","large in number or quantity (especially of discourse); ""she took copious notes""; ""extensive press coverage""; ""a subject of voluminous legislation"""
"extensive","large in number or quantity (especially of discourse); ""she took copious notes""; ""extensive press coverage""; ""a subject of voluminous legislation"""
"voluminous","large in number or quantity (especially of discourse); ""she took copious notes""; ""extensive press coverage""; ""a subject of voluminous legislation"""
"easy","plentiful and therefore at low interest rates; easy to come by; ""easy money"""
"exuberant","produced or growing in extreme abundance; ""their riotous blooming"""
"lush","produced or growing in extreme abundance; ""their riotous blooming"""
"luxuriant","produced or growing in extreme abundance; ""their riotous blooming"""
"profuse","produced or growing in extreme abundance; ""their riotous blooming"""
"riotous","produced or growing in extreme abundance; ""their riotous blooming"""
"thick","abundantly covered or filled; ""the top was thick with dust"""
"long","having or being more than normal or necessary:""long on brains""; ""in long supply"""
"overabundant","excessively abundant"
"plethoric","excessively abundant"
"rife","excessively abundant"
"plentiful","existing in great number or quantity; ""rhinoceroses were once plentiful here"""
"rank","growing profusely; ""rank jungle vegetation"""
"superabundant","most excessively abundant"
"teeming","abundantly filled with especially living things; ""the Third World''s teeming millions""; ""the teeming boulevard""; ""harried by swarming rats"""
"swarming","abundantly filled with especially living things; ""the Third World''s teeming millions""; ""the teeming boulevard""; ""harried by swarming rats"""
"torrential","pouring in abundance; ""torrential rains"""
"verdant","characterized by abundance of verdure"
"scarce","deficient in quantity or number compared with the demand; ""fresh vegetables were scarce during the drought"""
"rare","not widely distributed; ""rare herbs""; ""rare patches of gree in the desert"""
"tight","affected by scarcity and expensive to borrow; ""tight money""; ""a tight market"""
"abused","physically abused; ""an abused wife"""
"maltreated","physically abused; ""an abused wife"""
"mistreated","physically abused; ""an abused wife"""
"assaulted","sexually abused"
"molested","sexually abused"
"raped","sexually abused"
"battered","beaten repeatedly with heavy blows; ""a battered child""; ""the battered woman syndrome"""
"beaten","beaten repeatedly with heavy blows; ""a battered child""; ""the battered woman syndrome"""
"cuffed","struck with especially the open hand; ""hung his head like a cuffed and chastised child""; ""wondered which was the worse punishment, her slapped face or her injured feelings"""
"slapped","struck with especially the open hand; ""hung his head like a cuffed and chastised child""; ""wondered which was the worse punishment, her slapped face or her injured feelings"""
"misunderstood","not given sympathetic understanding; ""a sorely misunderstood child"""
"unabused","not physically abused; treated properly"
"abused","abused with language"
"affronted","treated with insolent and rude language especially openly and intentionally"
"insulted","treated with insolent and rude language especially openly and intentionally"
"maligned","assailed with contemptuous language"
"reviled","assailed with contemptuous language"
"unabused","not abused with language"
"unmaligned","not assailed with contemptuous language"
"unreviled","not assailed with contemptuous language"
"acceptable","worthy of acceptance or satisfactory; ""acceptable levels of radiation""; ""performances varied from acceptable to excellent"""
"bankable","acceptable to or at a bank; ""bankable funds"""
"unimpeachable","completely acceptable; not open to exception or reproach; ""two unexceptionable witnesses""; ""a judge''s ethics should be unexceptionable"""
"unacceptable","not acceptable; not welcome; ""a word unacceptable in polite society""; ""an unacceptable violation of personal freedom"""
"exceptionable","liable to objection or debate; used of something one might take exception to; ""a thoroughly unpleasant highly exceptionable piece of writing""; ""found the politician''s views objectionable"""
"objectionable","liable to objection or debate; used of something one might take exception to; ""a thoroughly unpleasant highly exceptionable piece of writing""; ""found the politician''s views objectionable"""
"intolerable","completely unacceptable; ""this noise is intolerable"""
"approved","generally or especially officially judged acceptable or satisfactory; ""an approved method""; ""work on the approved project went ahead on schedule"""
"disapproved","not approved; ""the disapproved tax proposal"""
"censured","officially and strongly disapproved; ""the censured conflict of interest""; ""her condemned behavior"""
"condemned","officially and strongly disapproved; ""the censured conflict of interest""; ""her condemned behavior"""
"marginal","of something or someone close to a lower limit or lower class; ""marginal abilities"""
"rejected","something or someone judged unacceptable; ""rejected merchandise"""
"accessible","capable of being reached; ""a town accessible by rail"""
"approachable","easily approached; ""a site approachable from a branch of the Niger"""
"reachable","easily approached; ""a site approachable from a branch of the Niger"""
"getatable","capable of being reached or attained; ""a very getatable man""; ""both oil and coal are there but not in getatable locations"""
"convenient","easy to reach; ""found a handy spot for the can opener"""
"handy","easy to reach; ""found a handy spot for the can opener"""
"inaccessible","capable of being reached only with great difficulty or not at all"
"unaccessible","capable of being reached only with great difficulty or not at all"
"backwoods(a)","inaccessible and sparsely populated"
"outback(a)","inaccessible and sparsely populated"
"remote","inaccessible and sparsely populated"
"deserted","remote from civilization; ""the victim was lured to a deserted spot"""
"pathless","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"roadless","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"trackless","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"untracked","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"untrod","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"untrodden","lacking pathways; ""trackless wilderness""; ""roadless areas"""
"lonely(a)","separated from or unfrequented by others; remote or secluded; ""a lonely crossroads""; ""a solitary retreat""; ""a trail leading to an unfrequented lake"""
"solitary","separated from or unfrequented by others; remote or secluded; ""a lonely crossroads""; ""a solitary retreat""; ""a trail leading to an unfrequented lake"""
"unfrequented","separated from or unfrequented by others; remote or secluded; ""a lonely crossroads""; ""a solitary retreat""; ""a trail leading to an unfrequented lake"""
"unreachable","inaccessibly located or situated; ""an unapproachable chalet high in the mountains""; ""an unreachable canyon""; ""the unreachable stars"""
"unreached","inaccessibly located or situated; ""an unapproachable chalet high in the mountains""; ""an unreachable canyon""; ""the unreachable stars"""
"ungetatable","difficult to reach or attain"
"accommodating","helpful in bringing about a harmonious adaptation; ""the warden was always accommodating in allowing visitors in""; ""made a special effort to be accommodating"""
"accommodative","helpful in bringing about a harmonious adaptation; ""the warden was always accommodating in allowing visitors in""; ""made a special effort to be accommodating"""
"complaisant","showing a cheerful willingness to do favors for others; ""to close one''s eyes like a complaisant husband whose wife has taken a lover""; ""the obliging waiter was in no hurry for us to leave"""
"obliging","showing a cheerful willingness to do favors for others; ""to close one''s eyes like a complaisant husband whose wife has taken a lover""; ""the obliging waiter was in no hurry for us to leave"""
"unobliging","not accommodating; ""the unaccommodating bus driver pulled out while she was banging on the door"""
"disobliging","intentionally unaccommodating; ""the action was not offensive to him but proved somewhat disobliging"""
"uncooperative","intentionally unaccommodating; ""the action was not offensive to him but proved somewhat disobliging"""
"accurate","conforming exactly or almost exactly to fact or to a standard or performing with total accuracy; ""an accurate reproduction""; ""the accounting was accurate""; ""accurate measurements""; ""an accurate scale"""
"close","marked by fidelity to an original; ""a close translation""; ""a faithful copy of the portrait""; ""a faithful rendering of the observed facts"""
"faithful","marked by fidelity to an original; ""a close translation""; ""a faithful copy of the portrait""; ""a faithful rendering of the observed facts"""
"surgical","performed with great precision; ""a surgical air strike"""
"straight","right; in keeping with the facts; ""set the record straight""; ""made sure the facts were straight in the report"""
"true","accurately placed or thrown; ""his aim was true""; ""he was dead on target"""
"veracious","precisely accurate; ""a veracious account"""
"inaccurate","not accurate; ""an inaccurate translation""; ""the thermometer is inaccurate"""
"away","(of a baseball pitch) on the far side of home plate from the batter; ""the pitch was away (or wide)""; ""an outside pitch"""
"outside","(of a baseball pitch) on the far side of home plate from the batter; ""the pitch was away (or wide)""; ""an outside pitch"""
"faulty","characterized by errors; ""he submitted a faulty report"""
"unfaithful","not trustworthy; ""an unfaithful reproduction"""
"wide","not on target; ""the kick was wide""; ""the arrow was wide of the mark""; ""a claim that was wide of the truth"""
"accustomed","(often followed by `to'') in the habit of or adapted to; ""accustomed to doing her own work""; ""I''ve grown accustomed to her face"""
"unaccustomed","not habituated to; unfamiliar with; ""unaccustomed to wearing suits"""
"new","(often followed by `to'') unfamiliar; ""new experiences""; ""experiences new to him""; ""errors of someone new to the job"""
"acidic","being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)"
"acid","containing acid; ""an acid taste"""
"alkaline","relating to or containing an alkali; having a pH greater than 7; ""alkaline soils derived from chalk or limestone"""
"alkalic","relating to or containing an alkali; having a pH greater than 7; ""alkaline soils derived from chalk or limestone"""
"alkalescent","tending to become alkaline; slightly alkaline"
"alcalescent","tending to become alkaline; slightly alkaline"
"basic","of or denoting or of the nature of or containing a base"
"amphoteric","having characteristics of both an acid and a base and capable of reacting as either"
"amphiprotic","having characteristics of both an acid and a base and capable of reacting as either"
"acidophilic","especially of some bacteria; growing well in an acid medium"
"acidophilous","especially of some bacteria; growing well in an acid medium"
"aciduric","especially of some bacteria; growing well in an acid medium"
"acknowledged","recognized or made known or admitted; ""the acknowledged leader of the community""; ""a woman of acknowledged accomplishments""; ""his acknowledged error"""
"accepted","generally approved or compelling recognition; ""several accepted techniques for treating the condition""; ""his recognized superiority in this kind of work"""
"recognized","generally approved or compelling recognition; ""several accepted techniques for treating the condition""; ""his recognized superiority in this kind of work"""
"recognised","generally approved or compelling recognition; ""several accepted techniques for treating the condition""; ""his recognized superiority in this kind of work"""
"assumed","accepted as real or true without proof; ""an assumed increase in population""; ""the assumed reason for his absence""; ""assumptive beliefs""; ""his loyalty was taken for granted"""
"assumptive","accepted as real or true without proof; ""an assumed increase in population""; ""the assumed reason for his absence""; ""assumptive beliefs""; ""his loyalty was taken for granted"""
"declarable","that must be declared; ""declarable income"""
"given","acknowledged as a supposition; ""given the engine''s condition, it is a wonder that it started"""
"granted","acknowledged as a supposition; ""given the engine''s condition, it is a wonder that it started"""
"putative(a)","commonly put forth or accepted as true on inconclusive grounds; ""the foundling''s putative father""; ""the reputed (or purported) author of the book""; ""the supposed date of birth"""
"purported(a)","commonly put forth or accepted as true on inconclusive grounds; ""the foundling''s putative father""; ""the reputed (or purported) author of the book""; ""the supposed date of birth"""
"reputed(a)","commonly put forth or accepted as true on inconclusive grounds; ""the foundling''s putative father""; ""the reputed (or purported) author of the book""; ""the supposed date of birth"""
"supposed(a)","commonly put forth or accepted as true on inconclusive grounds; ""the foundling''s putative father""; ""the reputed (or purported) author of the book""; ""the supposed date of birth"""
"disowned","any connection is denied"
"repudiated","any connection is denied"
"unappreciated","having value that is not acknowledged"
"unsung","having value that is not acknowledged"
"unvalued","having value that is not acknowledged"
"unavowed","not openly made known; ""a secret marriage""; ""a secret bride"""
"secret","not openly made known; ""a secret marriage""; ""a secret bride"""
"unconfessed","not admitted; ""unconfessed sins"""
"unrecognized","not recognized; ""he was unrecognized in his disguise"""
"unrecognised","not recognized; ""he was unrecognized in his disguise"""
"acquisitive","eager to acquire and possess things especially material possessions or ideas; ""an acquisitive mind""; ""an aquisitive society in which the craving for material things seems never satisfied"""
"accumulative","marked by acquiring or amassing; ""we live in an accumulative society"""
"avaricious","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"covetous","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"grabby","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"grasping","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"greedy","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"prehensile","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor''s fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greed"
"possessive","desirous of owning; ""small children are so possessive they will not let others play with their toys"""
"plundering","given to taking by force what is desired"
"predaceous","living by or given to victimizing others for personal gain; ""predatory capitalists""; ""a predatory, insensate society in which innocence and decency can prove fatal""- Peter S. Prescott; ""a predacious kind of animal--the early geological gangster""- W.E.Swin"
"predacious","living by or given to victimizing others for personal gain; ""predatory capitalists""; ""a predatory, insensate society in which innocence and decency can prove fatal""- Peter S. Prescott; ""a predacious kind of animal--the early geological gangster""- W.E.Swin"
"predatory","living by or given to victimizing others for personal gain; ""predatory capitalists""; ""a predatory, insensate society in which innocence and decency can prove fatal""- Peter S. Prescott; ""a predacious kind of animal--the early geological gangster""- W.E.Swin"
"rapacious","excessively greedy and grasping; ""a rapacious divorcee on the prowl""; ""ravening creditors""; ""paying taxes to voracious governments"""
"ravening","excessively greedy and grasping; ""a rapacious divorcee on the prowl""; ""ravening creditors""; ""paying taxes to voracious governments"""
"voracious","excessively greedy and grasping; ""a rapacious divorcee on the prowl""; ""ravening creditors""; ""paying taxes to voracious governments"""
"sordid","meanly avaricious and mercenary; ""sordid avarice""; ""sordid material interests"""
"unacquisitive","not acquisitive; not interested in acquiring or owning anything"
"acropetal","of leaves or flowers; developing or opening in succession from base to apex"
"basipetal","of leaves or flowers; developing or opening in succession from apex to base"
"active","characterized by energetic activity; ""an active toddler""; ""active as a gazelle""; ""an active man is a man of action"""
"about(p)","on the move; ""up and about""; ""the whole town was astir over the incident"""
"astir(p)","on the move; ""up and about""; ""the whole town was astir over the incident"""
"acrobatic","vigorously active; ""an acrobatic dance""; ""an athletic child""; ""athletic playing""; ""gymnastic exercises"""
"athletic","vigorously active; ""an acrobatic dance""; ""an athletic child""; ""athletic playing""; ""gymnastic exercises"""
"gymnastic","vigorously active; ""an acrobatic dance""; ""an athletic child""; ""athletic playing""; ""gymnastic exercises"""
"agile","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it"""
"nimble","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it"""
"quick","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it"""
"spry","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it"""
"hot","marked by excited activity; ""a hot week on the stock market"""
"hyperactive","more active than normal; ""a hyperactive child"""
"overactive","more active than normal; ""a hyperactive child"""
"lively","characterized by energetic activity; ""a lively baby"""
"inactive","not active physically or mentally; ""illness forced him to live an inactive life""; ""dreamy and inactive by nature"""
"deskbound","restricted to working in an office rather than in an active physical capacity"
"dormant","not active but capable of becoming active; ""her feelings of affection are dormant but easily awakened"""
"hypoactive","abnormally inactive"
"underactive","abnormally inactive"
"inert","slow and apathetic; ""she was fat and inert""; ""a sluggish worker""; ""a mind grown torpid in old age"""
"sluggish","slow and apathetic; ""she was fat and inert""; ""a sluggish worker""; ""a mind grown torpid in old age"""
"torpid","slow and apathetic; ""she was fat and inert""; ""a sluggish worker""; ""a mind grown torpid in old age"""
"sedentary","used of persons or actions; ""forced by illness to lead a sedentary life"""
"active","engaged in full-time work; ""active duty""; ""though past retirement age he is still active in his profession"""
"activated","set up and placed on active assignment; ""a newly activated unit"""
"on(p)","performing or scheduled for duties; ""I''m on from five to midnight""; ""Naval personnel on duty in Alaska""; ""her on-duty hours were 11p.m. to 7 a.m."""
"practicing","actively engaged in a career or way of life; ""a practicing physician""; ""a practicing Catholic"""
"inactive","not engaged in full-time work; ""inactive reserve"" ; ""an inactive member of the department"""
"off(p)","not performing or scheduled for duties; ""He''s off every Tuesday""; ""he was off duty when it happened""; ""an off-duty policeman"""
"retired","no longer active in your work or profession"
"active","full of activity or engaged in continuous activity; ""an active seaport""; ""an active bond market""; ""an active account"""
"brisk","very active; ""doing a brisk business"""
"bustling","full of energetic and noisy activity; ""a bustling city"""
"busy","crowdedwith or characterized by much activity; ""a very busy week""; ""a busy life""; ""a busy street""; ""a busy seaport"""
"going(a)","in full operation; ""a going concern"""
"open","ready for business; ""the stores are open"""
"inactive","lacking activity; lying idle or unused; ""an inactive mine""; ""inactive accounts""; ""inactive machinery"""
"closed","shut down; ""the airport is closed because of the weather""; ""the many closed shops and factories made the town look deserted"""
"dark","not giving performances; closed; ""the theater is dark on Mondays"""
"dead","devoid of activity; ""this is a dead town; nothing ever happens here"""
"dull","(of business) not active or brisk; ""business is dull (or slow)""; ""a sluggish market"""
"slow","(of business) not active or brisk; ""business is dull (or slow)""; ""a sluggish market"""
"sluggish","(of business) not active or brisk; ""business is dull (or slow)""; ""a sluggish market"""
"idle","not in active use; ""the machinery sat idle during the strike""; ""idle hands"""
"unused","not in active use; ""the machinery sat idle during the strike""; ""idle hands"""
"strikebound","closed or immobilized by a strike; ""a strikebound airline"""
"active","tending to become more severe or wider in scope; ""active tuberculosis"""
"progressive","advancing in severity; ""progressive paralysis"""
"inactive","not progressing or increasing; or progressing slowly"
"arrested","having development checked or reversed; ""arrested tuberculosis"""
"indolent","of tumors e.g.; slow to heal or develop and usually painless; ""an indolent ulcer""; ""leprosy is an indolent infectious disease"""
"latent","not presently active; ""latent infection""; ""latent diabetes"""
"quiescent","causing no symptoms; ""a quiescent tumor"""
"active","disposed to take action or effectuate change; ""a director who takes an active interest in corporate operations""; ""an active antagonism""; ""he was active in drawing attention to their grievances"""
"activist","advocating or engaged in activism"
"activistic","advocating or engaged in activism"
"proactive","(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens"
"passive","lacking in energy or will; ""Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself""- George Meredith"
"inactive","lacking in energy or will; ""Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself""- George Meredith"
"resistless","offering no resistance; ""resistless hostages""; ""No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried""- Theodore Roosevelt"
"supine","offering no resistance; ""resistless hostages""; ""No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried""- Theodore Roosevelt"
"unresisting","offering no resistance; ""resistless hostages""; ""No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried""- Theodore Roosevelt"
"active","producing activity or change"
"counteractive","opposing or neutralizing or mitigating an effect by contrary action"
"antagonistic","opposing or neutralizing or mitigating an effect by contrary action"
"antacid","acting to neutralize acid (especially in the stomach)"
"antidotal","counteracting the effects of a poison"
"offsetting","compensating for"
"compensatory","compensating for"
"compensative","compensating for"
"opposing","acting in opposition to; ""the opposing sector of the same muscle group"""
"active","(of e.g. volcanos) erupting or liable to erupt; ""active volcanos"""
"alive(p)","capable of erupting; ""a live volcano""; ""the volcano is very much alive"""
"live(a)","capable of erupting; ""a live volcano""; ""the volcano is very much alive"""
"eruptive","erupting or tending to erupt; ""a geyser is an intermittently eruptive hot spring"""
"dormant","of e.g. volcanos; temporarily inactive; ""a dormant volcano"""
"inactive","of e.g. volcanos; temporarily inactive; ""a dormant volcano"""
"quiescent","being quiet or still or inactive"
"extinct","of e.g. volcanos; permanently inactive; ""an extinct volcano"""
"inactive","of e.g. volcanos; permanently inactive; ""an extinct volcano"""
"dead","physically inactive; ""Crater Lake is in the crater of a dead volcano of the Cascade Range"""
"active","expressing action rather than a state of being; used of verbs (e.g. `to run'') and participial adjectives (e.g. `running'' in `running water'')"
"dynamic","expressing action rather than a state of being; used of verbs (e.g. `to run'') and participial adjectives (e.g. `running'' in `running water'')"
"stative","expressing existence or a state rather than an action; used of verbs (e.g. `be'' or `own'') and most participial adjectives"
"active","expressing that the subject of the sentence has the semantic function of actor: ""Hemingway favors active constructions"""
"passive","expressing thatthe subject of the sentence is the patient of the action denoted by the verb; ""academics seem to favor passive sentences"""
"active","exerting influence or producing an effect; ""an active ingredient"""
"activated","rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive"
"inactive","not active or exerting influence"
"quiescent","not active or activated; ""the quiescent level of centimeter wave-length solar radiation"""
"active","of the sun; characterized by a high level activity in sunspots and flares and radio emissions"
"quiet","of the sun; characterized by a low level of surface phenomena like sun spots e.g."
"actual","presently existing in fact and not merely potential or possible; ""the predicted temperature and the actual temperature were markedly different""; ""actual and imagined conditions"""
"existent","presently existing in fact and not merely potential or possible; ""the predicted temperature and the actual temperature were markedly different""; ""actual and imagined conditions"""
"actualized","changed from potential to actual; ""saw his worst fears actualized"""
"actualised","changed from potential to actual; ""saw his worst fears actualized"""
"effective","existing in fact; not theoretical; real; ""a decline in the effective demand""; ""confused increased equipment and expenditure with the quantity of effective work done"""
"very(a)","used to give emphasis to the relevance of the thing modified; ""his very name struck terror""; ""caught in the very act"""
"potential","existing in possibility; ""a potential problem""; ""possible uses of nuclear power"""
"possible","existing in possibility; ""a potential problem""; ""possible uses of nuclear power"""
"latent","potentially existing but not presently evident or realized; ""a latent fingerprint""; ""latent talent"""
"acute","having or experiencing a rapid onset and short but severe course; ""acute appendicitis""; ""the acute phase of the illness""; ""acute patients"""
"subacute","less than acute; relating to a disease present in a person with no symptoms of it"
"chronic","being long-lasting and recurrent or characterized by long suffering; ""chronic indigestion""; ""a chronic shortage of funds""; ""a chronic invalid"""
"degenerative","of illness; marked by gradual deterioration of organs and cells along with loss of function; ""degenerative diseases of old age"""
"prolonged","(of illness) developing slowly or of long duration"
"virulent","infectious; having the ability to cause disease"
"deadly","(of a disease) having a rapid course and violent effect"
"avirulent","not virulent; unable to produce disease"
"adaptive","having a capacity for adaptation; ""the adaptive coloring of a chameleon"""
"adaptative","having a capacity for adaptation; ""the adaptive coloring of a chameleon"""
"accommodative","tending to reconcile or accommodate; bringing into harmony"
"reconciling","tending to reconcile or accommodate; bringing into harmony"
"adaptational","of or relating to adaptation"
"adjustive","conducive to adjustment"
"maladaptive","showing faulty adaptation"
"dysfunctional","(of a trait or condition) failing to serve an adjustive purpose; ""dysfunctional behavior"""
"nonadaptive","(of a trait or condition) failing to serve an adjustive purpose; ""dysfunctional behavior"""
"maladjustive","poorly adjusted"
"added","combined or joined to increase in size or quantity or scope; ""takes on added significance""; ""an added attraction"""
"accessorial","something added that is nonessential but helpful; ""accessorial services included sorting and packing"""
"additional","existing or coming by way of addition; ""an additional problem""; ""further information""; ""there will be further delays""; ""took more time"""
"further(a)","existing or coming by way of addition; ""an additional problem""; ""further information""; ""there will be further delays""; ""took more time"""
"more(a)","existing or coming by way of addition; ""an additional problem""; ""further information""; ""there will be further delays""; ""took more time"""
"adscititious","added to supplement; ""adscititious remarks"""
"another(a)","one more or an added; ""another chance""; ""another cup of coffee""; ""an additional piece of pie"""
"additional","one more or an added; ""another chance""; ""another cup of coffee""; ""an additional piece of pie"""
"else(ip)","more; ""would you like anything else?""; ""I have nothing else to say"""
"additional","more; ""would you like anything else?""; ""I have nothing else to say"""
"extra","further or added; ""called for additional troops""; ""need extra help""; ""an extra pair of shoes""; ""I have no other shoes""; ""there are other possibilities"""
"other(a)","further or added; ""called for additional troops""; ""need extra help""; ""an extra pair of shoes""; ""I have no other shoes""; ""there are other possibilities"""
