"hump","arch one''s back"
"twirl","turn in a twisting or spinning motion; ""The leaves swirled in the autumn wind"""
"swirl","turn in a twisting or spinning motion; ""The leaves swirled in the autumn wind"""
"twiddle","turn in a twisting or spinning motion; ""The leaves swirled in the autumn wind"""
"whirl","turn in a twisting or spinning motion; ""The leaves swirled in the autumn wind"""
"gyrate","to wind or move in a spiral course; ""the muscles and nerves of his fine drawn body were coiling for action""; ""black smoke coiling up into the sky""; ""the young people gyrated on the dance floor"""
"spiral","to wind or move in a spiral course; ""the muscles and nerves of his fine drawn body were coiling for action""; ""black smoke coiling up into the sky""; ""the young people gyrated on the dance floor"""
"coil","to wind or move in a spiral course; ""the muscles and nerves of his fine drawn body were coiling for action""; ""black smoke coiling up into the sky""; ""the young people gyrated on the dance floor"""
"corkscrew","move in a spiral or zigzag course"
"spiral","move in a spiral or zigzag course"
"pass","travel past; ""The sports car passed all the trucks"""
"overtake","travel past; ""The sports car passed all the trucks"""
"overhaul","travel past; ""The sports car passed all the trucks"""
"pass","go across or through; ""We passed the point where the police car had parked""; ""A terrible thought went through his mind"""
"negociate","succeed in passing through, around, or over; ""The hiker negociated the high mountain pass"""
"lock","pass by means through a lock in a waterway"
"make","proceed along a path; ""work one''s way through the crowd""; ""make one''s way into the forest"""
"work","proceed along a path; ""work one''s way through the crowd""; ""make one''s way into the forest"""
"cycle","pass through a cycle; ""This machine automatically cycles"""
"fumble","make one''s way clumsily or blindly; ""He fumbled towards the door"""
"blunder","make one''s way clumsily or blindly; ""He fumbled towards the door"""
"surpass","pass by; ""A black limousine passed by when she looked out the window""; ""He passed his professor in the hall""; ""One line of soldiers surpassed the other"""
"pass","pass by; ""A black limousine passed by when she looked out the window""; ""He passed his professor in the hall""; ""One line of soldiers surpassed the other"""
"skirt","pass around or about; move along the border; ""The boat skirted the coast"""
"pass","cause to pass; ""She passed around the plates"""
"cycle","cause to go through a recurring sequence; ""cycle thge laundry in this washing program"""
"recycle","cause to repeat a cycle"
"reeve","pass through a hole or opening; ""reeve a rope"""
"clear","pass an inspection or receive authorization; ""clear customs"""
"reeve","pass a rope through; ""reeve an opening"""
"bushwhack","cut one''s way through the woods or bush"
"approach","move towards; ""We were approaching our destination""; ""They are drawing near""; ""The enemy army came nearer and nearer"""
"near","move towards; ""We were approaching our destination""; ""They are drawing near""; ""The enemy army came nearer and nearer"""
"close","draw near; ""The probe closed with the space station"""
